RAUMCODE;RAUMBEZEICHNUNG
DAEGM14;Haustechnikraum
DAU103Z;Nebenschacht
DAU104Z;DA0110Z
DAU122K;Rauchabzugssch.2.UG
DAU1A03;Schleuse
DAU1A04;Anlieferung
DAU1A07;Tr.F.Schutzraum
DAU1A09;Klimazentrale
DAU1A10;Gang Turm A-C
DAU1B03;Stiege 2
DAU1B08;Schleuse
DAU1B20;Mensa - Küchenmüllraum
DAU1B24;Schleuse
DAU1C10;Schleuse Stiegenhaus
DAU1C12;Stiege 1
DAU1C22;Gang
DAU1E03;Lüftungszentrale
DAU1E04;Klimazentrale/Lager
DAU1E10;Mensa - Tiefkuehlraum
DAU1E12;Mensa - Tiefkühlr. Fleisch + Gefluegel
DAU1E14;Mensa - Tiefkühlr. Gemuese
DAU1E18;Mensa - Kühlraum Milchpr. + Getr.
DAU1E20;Mensa - Warenuebernahme
DAU1F14;Mensa - Schleuse
DAU1F24;Gang
DAU1G16;Mensa - Aggregatraum
DAU1H03;WIPARK - Rampenbereich
DAU1H04;Lager
DAU1H10;Mensa - Lager
DAU1J24;Lager
DAU1K10;Lager
DAU1K20;Mensa - Vorraum
DAU1M04;Posthauptverteiler
DAU1N06;Gasanschluss
DAU1N08;Gas-u.Wasseranschl.
DAU1O07;WIPARK - Rampe
DAU217D;Schwachstromschacht
DAU219K;Rauchabzugssch.3.UG
DAU220K;Rauchabzugsschacht
DAU223K;Rauchabzugssch.3.UG
DAU2A03;Vorraum Stiege
DAU2A04;Schleuse Stiegenhaus
DAU2A09;Notstromaggregat / Tankraum
DAU2A10;Gang
DAU2A15;Schleuse
DAU2A17;Vorraum
DAU2A19;Lüftungszentrale
DAU2A21;Ventilatoren
DAU2A22;Lüftungszentrale
DAU2B03;Stiege 2
DAU2B08;Schleuse
DAU2B15;Öltankraum
DAU2B20;Schleuse
DAU2B23;Sandfilter
DAU2C04;Lüftungszentrale
DAU2C08;Schleuse
DAU2C10;Schleuse
DAU2C12;Stiege 1
DAU2C23;Sandfilter
DAU2D08;Schleuse
DAU2D23;Sandfilter
DAU2E03;WIPARK - Brandabschnitt 1 Garage
DAU2E04;WIPARK - Brandabschnitt 4 Garage
DAU2O07;WIPARK - Rampe
DAU316Z;Schacht
DAU318K;Rauchabzugsschacht
DAU324K;Rauchabzugssch.4.UG
DAU3A01;Abstellraum
DAU3A03;Schleuse Stiegenhaus
DAU3A10;Gang
DAU3A22;Lager Möbel
DAU3B03;Stiege 2
DAU3B08;Schleuse
DAU3B20;Schleuse
DAU3C04;Abstellraum
DAU3C10;Schleuse Stiegenhaus
DAU3C12;Stiege 1
DAU3E03;WIPARK - Brandabschnitt 1 Garage
DAU3E04;WIPARK - Brandabschnitt 3 Garage
DAU3O07;WIPARK - Rampe
DAU405M;Schacht
DAU409Y;Schacht
DAU411K;Schacht
DAU412E;E-Schacht
DAU416Z;Schacht
DAU417D;Schwachstromschacht
DAU421K;Rauchabzugsschacht
DAU4A01;Abstellraum
DAU4A03;Schleuse
DAU4A09;Erschütterungsarmer Raum
DAU4A10;Gang A-C
DAU4A15;Erschütterungsarmer Raum
DAU4A21;Erschütterungsarmer Raum
DAU4A22;Lager
DAU4B01;Abstellraum
DAU4B03;Stiege 2
DAU4B08;Schleuse
DAU4B12;Aufzug
DAU4B14;Aufzug
DAU4B20;Schleuse
DAU4B22;Mensa - Aufzug
DAU4C04;Abstellraum
DAU4C10;Schleuse Stiegenhaus
DAU4C12;Stiege 1
DAU4D12;Hebeanl. Techn.Raum
DAU4E03;WIPARK - Brandabschnitt 1 Garage
DAU4E04;WIPARK - Brandabschnitt 3 Garage
DAU4O07;WIPARK - Rampe
DB0138K;Schacht
DB0139K;Schacht
DB01A02;Gang
DB01B02;Stiege 1
DB01B05;WC Damen + Beh. WC
DB01B06;WC Herren
DB01B07;EDV-Verteiler
DB01B09;WC Herren + Beh. WC
DB01B14;Stiege
DB01B21;Gang
DB01B25;WC Damen
DB01B26;WC Herren
DB01B28;Stiege 2
DB01B30;Schacht
DB01C13;Stiege 3
DB01C19;Schleuse Stiegenhaus
DB01E01;Gang
DB01E07;Schleuse zu E09
DB01E09;EDV Praktikum Physik
DB01E15;Sitzungszimmer
DB01E23;Schleuse zu Allgem.R.
DB01E25;Gang
DB01E26;Mensa - Abstellraum Garderobe
DB01F01;Klimagerät
DB01F02;Mensa - Ausgabe
DB01F27;Strv Physik
DB01G01;Lager Veranstaltungsref.
DB01G28;Mensa - Abstellraum
DB01L07;Materiallager
DB01L15;Regieraum
DB01L19;TV-Studio
DB01L27;Requisitendepot
DB01L28;Mensa - Abstellraum
DB01M01;Stiege 4
DB01M09;Maschinenraum
DB01N09;Schaltanlage
DB01N17;Vorraum
DB01N23;Vorraum
DB01O01;Experimentaufbau
DB02A02;Gang
DB02B01;Schacht
DB02B02;Stiege 1
DB02B05;WC Damen + Beh. WC
DB02B06;Gerätelager
DB02B07;Abstellraum
DB02B09;WC Herren + Beh. WC
DB02B14;Stiege
DB02B21;Vorraum
DB02B25;WC Damen
DB02B26;Lager
DB02B28;Stiege 2
DB02C06;5 WC, Waschraum Damen
DB02C13;Stiege 3
DB02C19;Schleuse Stiegenhaus
DB02C26;4 WC, Waschraum Herren
DB02E01;Magazin
DB02E19;Gang
DB02E26;Gang
DB02F01;Büro
DB02F04;Garderobe
DB02F23;HTU Lernr. / TU.it Internet
DB02F24;TU.it Internet-Raum
DB02G02;Gang
DB02H04;FH Hörsaal 7
DB02H12;FH 8 Nöbauer HS
DB02K04;Druckkammer HS 7
DB02K12;Druckkammer HS 8
DB02K23;Archiv der HTU
DB02K25;Reinigungsmaterial
DB02L27;Vorraum
DB02L29;Simult.Dolm.Kabine
DB02M01;Stiege 4
DB02M06;Stiege 5
DB02M12;Besprechungsraum
DB02M18;Teeküche
DB02M20;Büro
DB02M24;Büro
DB02M29;Simult.Dolm.Kabine
DB02N01;Vorraum
DB02N04;Lager
DB02N30;Vorraum
DB02O01;Vorraum
DB02O03;Bad
DB02O04;Gang
DB02O05;FH Hörsaal 4
DB02O09;Gang Zw. Hörsäle Stiege
DB02O13;FH Hörsaal 3
DB02O19;Gang Zw. Hörsäle Stiege
DB02O20;Gang
DB02O23;FH Hörsaal 2
DB02O29;Büro Dipl. / Diss.
DB02P04;Büro
DB02P08;Büro
DB02P12;Büro
DB02P16;Büro
DB02P20;Büro
DB03A01;Gang
DB03A05;4 WC Herren, Waschraum
DB03A06;Terminalraum
DB03A07;TU.it Server
DB03A08;Dunkelkammer
DB03A11;Gang
DB03A12;Labor
DB03A16;Büro
DB03A20;Labor
DB03A21;Gang
DB03A25;3 WC Damen, Waschraum
DB03A26;Dynam.Photoel. Labor
DB03B02;Stiege 1
DB03B07;WC
DB03B28;Stiege 2
DB03B30;Schacht
DB03C13;Stiege 3
DB03C19;Schleuse Stiegenhaus
DB03D05;Sozialraum, Küche
DB03D25;Abstellraum
DB03E05;Büro
DB03E11;Sem.R. DB gelb 03
DB03E23;Büro
DB03F05;Büro
DB03F09;Gang mit Küchenzeile
DB03F23;Büro
DB03G05;Büro
DB03G23;Büro
DB03H05;Büro
DB03H15;Archiv
DB03H23;Büro
DB03J05;Sekretariat
DB03J23;Sekretariat
DB03J24;Klimazentrale 15
DB03K11;Büro
DB03K15;Büro
DB03K17;Büro
DB03K24;Klimazentrale 16
DB03K28;Vorraum Klimazentr.
DB03L05;Büro
DB03L23;Büro
DB03M06;Stiege 5
DB03M09;Büro
DB03M21;Büro
DB04A01;Gang
DB04A05;WC Herren
DB04A07;Reinigungsmaterial
DB04A08;Gang
DB04A11;Gang
DB04A21;Gang
DB04A25;WC, Waschraum
DB04B02;Stiege 1
DB04B06;Büro
DB04B08;Büro Ass.
DB04B12;Büro
DB04B14;Büro
DB04B18;Büro
DB04B20;Büro
DB04B24;Büro
DB04B26;Büro
DB04B28;Stiege 2
DB04B30;Schacht
DB04C13;Stiege 3
DB04C19;Schleuse Stiegenhaus
DB04C25;WC Behinderte
DB04D03;Sozialraum, Küche
DB04D25;Serverraum
DB04E03;Büro
DB04E11;Sem.R. DB gelb 04
DB04E23;Büro
DB04F03;Büro
DB04F09;Gang
DB04F23;Büro
DB04H03;Büro
DB04H11;Bibliothek
DB04H23;Büro
DB04J03;Büro
DB04J23;Büro
DB04K11;Teeküche
DB04K17;Kopierraum
DB04L03;Büro
DB04L23;Büro
DB04M03;Büro
DB04M09;Sekretariat 1
DB04M13;Büro
DB04M15;Büro
DB04M19;Sekretariat 2
DB04M23;Büro
DB05A01;Gang
DB05A05;Vorraum WC Herren
DB05A06;Teeküche
DB05A07;Archiv
DB05A08;Gang
DB05A11;Gang
DB05A16;Gang
DB05A21;Gang
DB05A22;Servicezone
DB05A25;WC Damen
DB05B02;Stiege 1
DB05B05;WC Herren
DB05B12;Sitzungszimmer
DB05B16;Büro
DB05B18;Büro
DB05B28;Stiege 2
DB05B30;Schacht
DB05C05;WC Dek
DB05C06;Büro
DB05C07;Vorraum WC Dek
DB05C08;Büro
DB05C13;Stiege 3
DB05C19;Schleuse Stiegenhaus
DB05C22;Büro
DB05D03;Küche/Besprechungsraum
DB05D25;Abstellraum
DB05E11;Sem.R. DB gelb 05 A
DB05E23;Rechnerraum
DB05F03;Büro
DB05F09;Institutsgang
DB05F21;Institutsgang
DB05F23;Büro
DB05H03;Büro Prof.
DB05H11;Ela- Abgeschirmter Raum
DB05H23;Büro Prof.
DB05J03;Büro Prof.
DB05J23;Büro Prof.
DB05L03;Sem.R. DB gelb 05 B
DB05L11;Büro Prof.
DB05L15;Büro Prof.
DB05L17;Laserspektroskopie: Carmen
DB05L19;Vorraum
DB05L23;Laserspektroskopie: Carmen
DB06A01;Gang
DB06A05;WC Herren
DB06A06;Besprechungsraum
DB06A07;Reinigungsmaterial
DB06A10;Teeküche
DB06A12;Empfang
DB06A18;Backoffice
DB06A20;Archiv
DB06A21;Gang
DB06A22;Büro Dipl. / Diss.
DB06A25;WC Damen
DB06A26;Labor / Schalttafel
DB06B02;Stiege 1
DB06B28;Stiege 2
DB06B30;Schacht
DB06C06;Büro Dipl.
DB06C07;Kleinküche
DB06C12;Sekretariat
DB06C13;Stiege 3
DB06C14;Büro Prof.
DB06C18;Büro Ass.
DB06C19;Schleuse Stiegenhaus
DB06D03;Dissertantenraum
DB06D25;Abstellraum
DB06E09;Gang
DB06E11;Metalle
DB06E17;Metalle
DB06E19;Z-Gerät f E17
DB06E21;Institutsgang
DB06E23;Büro Dipl. / Diss.
DB06F03;Büro Ass.
DB06F11;Z-Geräte für E11
DB06F23;Büro Ass.
DB06G03;Labor Dipl./ Diss.
DB06G11;Schleuse
DB06G23;Büro Doz.
DB06H03;Büro Doz.
DB06H11;Grosslabor Sxs
DB06H23;Büro Doz.
DB06J03;Labor - Pulsfeld
DB06J23;Dissetant/Diplomant
DB06K03;Pulsfeldlabor
DB06K21;Labor
DB07A01;Gang
DB07A05;WC
DB07A06;Labor
DB07A07;Reinigungsmaterial
DB07A10;Labor
DB07A11;Gang
DB07A21;Gang
DB07A24;Labor
DB07A25;WC Damen
DB07B02;Stiege 1
DB07B28;Stiege 2
DB07B30;Schacht
DB07C07;Teeküche
DB07C13;Stiege 3
DB07C19;Schleuse Stiegenhaus
DB07D05;Dunkelkammer
DB07D25;Abstellraum
DB07E03;Labor
DB07E11;Sem.R. DB gelb 07
DB07E23;Studienraum
DB07F09;Institutsgang
DB07F21;Institutsgang
DB07G03;Labor
DB07H11;Schaltanlage 6
DB07H15;Lager
DB07H23;Laboranten-Raum
DB07K23;Terminalraum
DB07L03;Labor
DB07L11;Büro Ass.
DB07L15;Studienraum
DB07L21;Büro Ass.
DB07L25;Büro Prof.
DB08A01;Gang
DB08A05;WC Herren
DB08A06;Büro
DB08A07;Reinigungsmaterial
DB08A11;Gang
DB08A12;Büro
DB08A16;Büro
DB08A21;Gang
DB08A22;Büro SUS 1,2
DB08A25;WC Damen
DB08A26;Büro Prof.
DB08A27;Loggia
DB08B02;Stiege 1
DB08B28;Stiege 2
DB08B30;Schacht
DB08C07;Teeküche
DB08C13;Stiege 3
DB08C19;Schleuse Stiegenhaus
DB08D05;Dunkelkammer
DB08D25;Abstellraum
DB08E03;Labor
DB08E11;Elmi-Labor
DB08E23;Sekretariat
DB08F09;Institutsgang
DB08F21;Institutsgang
DB08G03;Labor
DB08G23;Studienraum
DB08H11;Labor
DB08H15;Labor
DB08K03;Büro Prof.
DB08K12;EDV-Verteiler
DB08K23;Büro Prof.
DB08L09;Büro Ass.
DB08L15;Sekretariat
DB08L17;Sekretariat
DB09A01;Loggia
DB09A05;WC
DB09A06;Besprechungszimmer
DB09A07;Reinigungsmaterial
DB09A09;Gang
DB09A11;Gang
DB09A18;Vorraum
DB09A21;Gang
DB09A22;Gang
DB09A24;Büro Ass.
DB09A25;WC Damen
DB09A29;Loggia
DB09B02;Stiege 1
DB09B05;WC Herren
DB09B28;Stiege 2
DB09B30;Schacht
DB09C06;Büro Ass.
DB09C07;Teeküche
DB09C08;Büro Ass.
DB09C10;Büro Ass.
DB09C12;Büro Ass.
DB09C13;Stiege 3
DB09C14;Büro Ass.
DB09C16;Büro Ass.
DB09C18;Büro Prof.
DB09C19;Schleuse Stiegenhaus
DB09C22;Büro
DB09C25;WC Damen
DB09D05;Dunkelkammer
DB09D25;Abstellraum
DB09E03;Lab.f. bildgebende Verfahren
DB09E11;Elektromikroskop
DB09E19;Z-Gerät f E11
DB09E23;Sem.R. DB gelb 09
DB09F09;Gang
DB09G03;Chemielabor
DB09G11;Schaltanlage
DB09H11;Labor
DB09J21;Labor
DB09K03;Labor
DB09L11;Büro Dipl. / Diss.
DB09L17;Büro Dipl. /Diss.
DB09M09;Gasflaschenraum
DB09M21;Pumpenkammer
DB10A01;Loggia
DB10A05;WC Herren
DB10A06;Büro Ass.
DB10A07;Reinigungsmaterial
DB10A08;Büro
DB10A09;Gang
DB10A11;Gang
DB10A12;Büro
DB10A14;Büro
DB10A16;Vorraum
DB10A20;Büro Ass.
DB10A21;Gang
DB10A22;Büro Ass.
DB10A24;Büro
DB10A25;WC Damen
DB10A30;Loggia
DB10B02;Stiege 1
DB10B13;Aufzug
DB10B15;Aufzug
DB10B17;Aufzug
DB10B28;Stiege 2
DB10B30;Schacht
DB10C07;Teeküche
DB10C13;Stiege 3
DB10C16;Büro
DB10C19;Schleuse Stiegenhaus
DB10D03;Bibliothek
DB10D25;Abstellraum
DB10E03;Büro Prof.
DB10E11;Sem.R. DB gelb 10
DB10E23;Büro Ass.
DB10F09;Institutsgang
DB10F21;Institutsgang
DB10F23;Büro Ass.
DB10G03;Büro
DB10G23;Büro
DB10H03;Büro
DB10H11;Faxgerät, Lagerraum
DB10H15;Rechnerraum
DB10H17;Rechnerraum
DB10H23;Büro Ass.
DB10J03;Büro
DB10J23;Büro
DB10K03;Büro
DB10K25;Besprechungszimmer
DB10L07;Büro Ass.
DB10L11;Büro
DB10L15;Sekretariat
DB10L17;Büro Prof.
DB10L21;Büro Ass.
DB10M03;Büro Prof.
DB10M25;Büro Ass.
DB1109Y;Schleusenentlüftung
DB11A11;Aufzug Maschinenraum
DB11A19;Gang
DB11A22;Gang
DB11A24;Traforaum
DB11B02;Stiege 1
DB11B06;Haustechnik-Zentrale Turm B
DB11B12;Fassadenputzwagen
DB11B16;Niederspannungsraum
DB11B22;Trafo-Box
DB11B23;Lastenaufzug
DB11B28;Stiege 2
DB11B30;Schacht
DB11C02;Schacht
DB11C13;Stiege 3
DB11C19;Schleuse Stiegenhaus
DB11E11;Kältezentrale
DB12A19;Aufzug Maschinenraum
DBEG27K;Rauchabzugsschacht
DBEG28A;Müllaufzugsschacht
DBEG33K;Rauchabzugsschacht
DBEG36K;Rauchabzugsschacht
DBEG37K;Rauchabzugsschacht
DBEG38K;Schacht
DBEG39K;Schacht
DBEG40K;Schacht
DBEG41K;Schacht
DBEG42Z;Schacht
DBEGA01;Gang
DBEGB02;Stiege 1
DBEGB05;Spez.Labor
DBEGB06;WC Damen
DBEGB09;Schleuse
DBEGB14;Stiege 3
DBEGB21;Schleuse
DBEGB25;Schleuse
DBEGB26;WC Herren
DBEGB28;Stiege 2
DBEGB30;Schacht
DBEGC13;Stiege 3
DBEGC17;Schleuse Stiegenhaus
DBEGC26;WC Herren
DBEGC28;Abstellraum
DBEGD15;Spritzkabine
DBEGD17;Schleuse Stiegenhaus
DBEGD26;Gang
DBEGD27;GrafZentr.
DBEGE01;Grossmaschinenhalle
DBEGE15;Holzmaterial
DBEGE23;GrafZentr.
DBEGF10;Lager LMZ
DBEGF14;LMZ Personalraum
DBEGF16;LMZ Garderobe
DBEGF18;LMZ Verkaufsraum
DBEGG15;Schweissraum
DBEGG23;GrafZ.  Maschinenraum
DBEGK05;Physik 2 Werkstätte
DBEGK11;Iap - Werkstätte
DBEGK17;Blechmaterial
DBEGL27;GrafZ. Papierlager
DBEGM01;Stiege 4
DBEGM02;WIPARK - Mündung Garage
DBU101Z;Nebenschacht
DBU107Z;Nebenschacht
DBU108Z;Nebenschacht
DBU110Z;Nebenschacht
DBU125K;Rauchabzugssch.2.UG
DBU128K;Müllaufzugsschacht
DBU129K;Rauchabzugssch.4.UG
DBU130K;Rauchabzugssch.3.UG
DBU131K;Rauchabzugssch.2.UG
DBU132K;Rauchabzugssch.2.UG
DBU136K;Rauchabzugssch.3.UG
DBU137K;Rauchabzugssch.2.UG.
DBU1B02;Stiege 2
DBU1B05;Garderobe
DBU1B06;Werkstatt
DBU1B07;Waschküche
DBU1B09;Müllraum
DBU1B10;Lager / EDV-Verteiler
DBU1B12;Lager
DBU1B18;Klimazentrale
DBU1B21;Schleuse
DBU1B25;WC Herren
DBU1B30;Druckluftzentrale
DBU1C02;Abstellraum
DBU1C13;Stiege 1
DBU1C19;Schleuse
DBU1D05;Dusche
DBU1E05;Umformraum
DBU1E15;Müllsammelraum
DBU1E23;Klimazentrale
DBU1F06;LMZ Lager
DBU1J12;Tankraum
DBU1O21;WIPARK - Rampe
DBU212K;Schacht
DBU220K;Technikschacht
DBU226K;Schacht
DBU228K;Triebwerksraum
DBU229K;Rauchabzugssch.4.UG
DBU230K;Rauchabzugssch.3.UG
DBU233K;Rauchabzugsschacht
DBU236K;Rauchabzugssch.3.UG
DBU237K;Notausstieg 2.UG-EG
DBU238K;Schacht-Kryolabor
DBU239K;Schacht
DBU2A02;WC Herren
DBU2A06;WC Herren
DBU2A08;Lager
DBU2A12;Lager Iaeste
DBU2A14;WC Damen
DBU2A18;WC Damen
DBU2A20;Lager PNP
DBU2A22;Lager PNP
DBU2A23;Gang Krankenraum
DBU2A24;Rettungsraum
DBU2A26;Aufsicht
DBU2A28;Schleuse
DBU2A30;Vorraum
DBU2B02;Hebeanlagenr.3.UG
DBU2B05;Sandfilter
DBU2B09;Schleuse
DBU2B21;Schleuse
DBU2B25;Lagerraum
DBU2B27;Technikraum
DBU2B30;Tiefbrunnen
DBU2C01;Technikraum
DBU2C05;Sandfilter
DBU2C08;Lager
DBU2C12;Lager Iaeste
DBU2C13;Stiege 1
DBU2C19;Schleuse zu Stg1
DBU2C21;Schleuse
DBU2D05;Sandfilter
DBU2E17;WIPARK - Brandabschnitt 2 Garage
DBU2E18;WIPARK - Brandabschnitt 5 Garage
DBU2H30;Abstellraum
DBU2O21;WIPARK - Rampe
DBU327K;Rauchabzugssch.4.UG
DBU329K;Rauchabzugssch.4.UG
DBU334K;Rauchabzugssch.4.UG
DBU335K;Rauchabzugssch.4.UG
DBU3A01;Lager Best Vienna
DBU3A02;Abstellraum
DBU3A05;Klimazentrale
DBU3A06;Lager Möbel
DBU3A12;Lager
DBU3A18;Lager
DBU3A24;Lager Möbel
DBU3A29;Abstellraum
DBU3A30;Abstellraum
DBU3B02;Hebeanl.Schutzr.
DBU3B09;Schleuse
DBU3B11;Abstellraum
DBU3B21;Schleuse
DBU3B25;Lager
DBU3B30;Gegenosmose
DBU3C13;Stiege 1
DBU3C19;Schleuse
DBU3E17;WIPARK - Brandabschnitt 2 Garage
DBU3E18;WIPARK - Brandabschnitt 5 Garage
DBU3O21;WIPARK - Rampe
DBU405M;Schacht
DBU409Y;Schleusenentlüftung
DBU416D;Schacht Schwachstr.
DBU417K;Schacht
DBU418D;Schacht Schwachstrom
DBU419K;Schacht
DBU421K;Schacht
DBU422K;Schacht Techn.
DBU423E;E-Schacht
DBU4A01;Abstellraum
DBU4A02;Abstellraum
DBU4A05;Klimazentrale
DBU4A06;Lager Physik
DBU4A12;Lager
DBU4A18;Lager
DBU4A24;Lager
DBU4A29;IT-Verteiler, Vorraum
DBU4A30;Abstellraum
DBU4B01;Lager
DBU4B09;Schleuse
DBU4B11;Abstellraum
DBU4B13;Aufzug
DBU4B15;Aufzug
DBU4B17;Aufzug
DBU4B21;Schleuse
DBU4B23;Lastenaufzug
DBU4B25;Lager Pläne
DBU4B29;Lager
DBU4B30;Tiefbrunnen
DBU4C13;Stiege 1
DBU4C19;Schleuse
DBU4D13;Techn + Hebeanlage
DBU4E17;WIPARK - Brandabschnitt 2 Garage
DBU4E18;WIPARK - Brandabschnitt 5 Garage
DBU4O21;WIPARK - Rampe
DBU4P05;Lager
DC0101Z;Nebenschacht
DC0103Z;Nebenschacht
DC0104Z;Nebenschacht
DC0105M;Schacht
DC0109Y;Schleusenentlüftung
DC0110Z;Nebenschacht
DC0111K;Schacht
DC0115K;Schacht
DC0116K;Schacht
DC0117C;Schacht
DC01A03;Gang
DC01A23;Loggia
DC01B04;Vorraum
DC01B08;Kommunikationsraum
DC01B11;Stiege
DC01B20;Gang
DC01B23;Stiege 2
DC01C12;Stiege 1
DC01C18;Schleuse Stiegenhaus
DC01D08;Vorraum
DC01D28;Referat HTU
DC01D30;Referat HTU
DC01D32;Referat HTU
DC01E02;Allgemeiner Seminarr. HTU
DC01E23;Büro
DC01E24;WC Damen
DC01E26;WC Herren
DC01E36;Referat: Presse, Sport, Film
DC01F03;Foyer
DC01F10;Gleichrichter-Raum
DC01F14;Schleuse Gleichricht
DC01F16;Batterieraum
DC01F19;Gang
DC01F21;Strv Lehramt
DC01F22;Gang
DC01G10;Serverraum
DC01G21;Strv Mathematik
DC01H24;HTU-Großraum
DC01J21;TNF Lernraum
DC01K21;Büro
DC01K22;Gang
DC01K24;Lernraum
DC01L24;Lernraum
DC01L36;GRAT Gruppe Angep. Technologie
DC01M21;Allgem. Lernraum
DC01M24;Lernraum
DC01N10;Gardrobe
DC01N12;WC Damen
DC01N24;Lager
DC01N26;Referat: Wirtschaft
DC01N30;Sekretariat
DC01N32;Vorsitz der HTU
DC01O10;Büro
DC01O12;WC Herren
DC01O14;Gang
DC01O16;Büro
DC01O18;Büro
DC01O22;Büro
DC01O24;WC Herren
DC01P12;Büro
DC01Q03;Abstellraum
DC01Q15;Abstellraum
DC0201Z;Nebenschacht
DC0203Z;Nebenschacht
DC0204Z;Nebenschacht
DC0205M;Schacht
DC0209Y;Schleusenentlüftung
DC0210Z;Nebenschacht
DC0211K;Schacht
DC0212E;E-Schacht
DC0215K;Schacht
DC0216K;Schacht
DC0217C;Schacht
DC02A03;Gang
DC02A23;Loggia
DC02B04;Vorraum
DC02B08;Lager
DC02B11;Stiege
DC02B14;Stiege
DC02B20;Gang
DC02B22;Sensorikraum
DC02B23;Stiege 2
DC02C12;Stiege 1
DC02C18;Schleuse Stiegenhaus
DC02D30;Büro
DC02E02;Rechnerraum
DC02E07;Stiege
DC02F01;Vorraum
DC02F05;Abstellraum
DC02F07;Lager
DC02F11;Kleine Stiege
DC02F15;Vorraum
DC02F19;Gang
DC02F20;Lounge
DC02F21;Sozialraum, Küche
DC02F30;Büro
DC02G20;Besprechungsraum
DC02G21;Küche
DC02G30;Büro
DC02H03;FH Hörsaal 1
DC02J20;Teeküche
DC02J21;Büro
DC02J30;Büro
DC02K21;Büro
DC02L20;Sozialbereich
DC02L30;Büro
DC02M21;Büro
DC02M30;Büro
DC02N02;Putzmaterial
DC02N06;Abstellraum
DC02N10;Kopierraum
DC02N12;Serverraum
DC02N14;Archiv
DC02N21;Büro
DC02O02;Gang
DC02O30;Besprechungsraum
DC02P02;Büro
DC02P06;Büro
DC02P10;Büro
DC02P14;Büro
DC02P18;Büro
DC02P20;Büro
DC02P21;Büro
DC02P24;Büro
DC02P26;Büro
DC0301Z;Nebenschacht
DC0303Z;Nebenschacht
DC0304Z;Nebenschacht
DC0305M;Schacht
DC0309Y;Schleusenentlüftung
DC0310Z;Nebenschacht
DC0311K;Schacht
DC0312E;E-Schacht
DC0315K;Schacht
DC0316K;Schacht
DC0317C;Schacht
DC03A03;Labor
DC03A04;WC Herren
DC03A05;Labor
DC03A08;Gang + Garderobe
DC03A09;Büro
DC03A10;Gang
DC03A15;Büro
DC03A19;Em-Feld/Sonnenkollektor
DC03A20;Gang
DC03A22;WC Damen
DC03A23;Loggia
DC03B23;Stiege 2
DC03C04;Dunkelkammer/Photographie
DC03C12;Stiege 1
DC03C18;Schleuse Stiegenhaus
DC03C22;Labor
DC03D04;Dunkelkammer/Holographie
DC03D06;Vorraum Dunkelkammer
DC03D22;Chemielager
DC03E12;Interferometrie/Holographie
DC03E14;Schaltanlage
DC03E16;Interferometrie/Opt.Str.Dichte
DC03E22;Büro Ass. 2./3. Sem.
DC03F04;Büro Ass. 4. Sem.
DC03F07;Av-Technikraum
DC03F13;Klimageräteraum
DC03F22;Gammaspektroskopie
DC03G04;Praktikum 1./4. Sem.
DC03G08;Praktikum Elektronik 2.Sem.
DC03G14;Praktikum Elektronik 2./3.Sem.
DC03G22;Praktikum 2./3. Sem.
DC0401Z;Nebenschacht
DC0403Z;Nebenschacht
DC0404Z;Nebenschacht
DC0405M;Schacht
DC0409Y;Schleusenentlüftung
DC0410Z;Nebenschacht
DC0411K;Schacht
DC0412E;E-Schacht
DC0415K;Schacht
DC0416K;Schacht
DC0417C;Schacht
DC04A03;Vorraum
DC04A04;WC Herren
DC04A07;Büro
DC04A08;Gang
DC04A10;Gang
DC04A11;Vorraum
DC04A19;Büro
DC04A20;Gang
DC04A22;WC Damen
DC04A23;Loggia
DC04B03;Büro Prof.
DC04B05;Büro Externe
DC04B11;Büro
DC04B13;Büro
DC04B15;Büro
DC04B23;Stiege 2
DC04C04;Abstellraum
DC04C12;Stiege 1
DC04C18;Schleuse Stiegenhaus
DC04C22;Teeküche
DC04D02;Afm - Labor 1
DC04D22;PSA - Raum
DC04E08;Institutsgang
DC04E10;Ionenstrahlanlage Augustin
DC04E18;Institutsgang
DC04E22;Büro
DC04F02;Büro
DC04F22;Ob.Fl.Physik / Raumtemp - Stm
DC04G02;Plasmatechnik
DC04H02;Büro
DC04H22;Büro Prof.
DC04J02;Oberfl.-Physik OMEGA
DC04J22;Ob.Fl.Physik / Tieftemp - Stm
DC04K12;Elektronenspektroskopie-Lab.
DC04L02;Pacvd-Labor
DC04L18;Oberfl.-Physik Computerraum
DC04L22;Oberfl.-Physik SPECS
DC0501Z;Nebenschacht
DC0503Z;Nebenschacht
DC0504Z;Nebenschacht
DC0505M;Schacht
DC0509Y;Schleusenentlüftung
DC0510Z;Nebenschacht
DC0511K;Schacht
DC0512E;E-Schacht
DC0515K;Schacht
DC0516K;Schacht
DC0517C;Schacht
DC05A03;Vorraum
DC05A04;WC Herren
DC05A07;Elektronik Werkstatt
DC05A08;Gang
DC05A10;Gang
DC05A15;Büro Prof.
DC05A17;FEKS - Labor
DC05A20;Gang
DC05A22;WC Damen
DC05A23;Loggia
DC05B03;Labor
DC05B05;Labor
DC05B23;Stiege 2
DC05C04;Gasflaschenraum
DC05C12;Stiege 1
DC05C18;Schleuse Stiegenhaus
DC05C22;Teeküche
DC05D04;Spektroskopieraum
DC05D22;Lager
DC05E02;Chemielab. - Plasmat. - Pacvd
DC05E08;Institutsgang
