RAUMCODE;RAUMBEZEICHNUNG
ACEG38;Messraum
ACEG38A;Vorraum
ACEG41;Stiege 4
ACEG41A;Stiege 4A
ACEG41B;Abstellraum
ACEG42;Gang
ACEG43;Aufenthaltsraum
ACEG44;Messraum
ACEG44A;Gang
ACEG45;Labor
ACEG46;Büro, Aufgang Galerie
ACEG48;Labor
ACEG49;Labor
ACEG50;Labor
ACU101;Lager
ACU101A;Gang
ACU102;Lager
ACU102A;Lager
ACU104;Gang
ACU104A;Aufzug
ACU104B;Gang u. Stiege
ACU104C;Keller unter Stiege 3
ACU106;Raum-Labor
ACU106A;EDV-Verteiler
ACU109;Lager
ACU111;Spanabsaugung
ACU113;Technik
ACU114;Endoskopieraum + Vorraum
ACU114A;Wendeltreppe
ACU116;Teeküche, Dusche
ACU117;Lager
ACU118;Lager
ACU119;Lager
ACU125;Fotoraum
ACU126;Lager
ACU127;Haustech. / IT-Verteiler
ACU128;Probenlager
ACU128A;Aufzug
ACU128B;Wendeltreppe
ACU131;Probenlager
ACU133;Lampenlager
ACU135;Lager
ACU136;Keller
ACU136A;Garderobe Dusche
ACU137;Lager, Wasserkessel
ACU138;Gang
ACU140;Gang
ACU140A;Lager
ACU140B;IT-Verteiler
ACU141;Stiege
ACU141A;Stiege 4A
ACU141B;EDV-Verteiler
ACU142A;Lager
ACU143;Kesselhaus (Station)
ACU144A;Haustechnik
ACU147;Haustechnik
ACU147A;Rückstellprobenlager
ACU148A;Niederspannungsraum
ACU152A;Batterieraum
ACZ115;Depot
ACZ121;Depot
ACZ127;Depot
ACZ127A;Stiege
ACZ133;Depot
ACZ149;Galerie
ACZ243;1 WC, Waschraum Herren
ACZ243A;Waschraum
ACZ243B;1 WC, Waschraum Damen
ACZ243C;Vorraum
ACZ318;Galerie
ACZ422A;Abstellraum
ACZ441;Stiege 4
ACZ447;Galerie
ACZE09;Technik Absaugung
ACZE11A;Studenten-Werkraum 2
ACZE12;Galerie
ACZE16A;Studenten-Werkraum Gallerie
ACZE17A;Studenten-Werkraum 1
ACZE21A;Stiege
ACZE21B;Besprechungsraum, Fotostudio
ACZE27;Technik Klima
ACZE46;Galerie
AD0102;Stiege 5
AD0107;2 WC Damen
AD0107A;2 WC Herren, Waschraum
AD0107B;Vorraum
AD0108;Gang
AD0109;Besprechungsraum
AD0111;Büro
AD0112;Stiege 10
AD0116A;E-Verteiler
AD0117;Büro
AD0120;Gang
AD0122;Loggia
AD0122A;Aufzug
AD0122B;HT- Schacht
AD0123;Büro
AD0127;Besprechungsraum
AD0127A;TU.it Server
AD0202;Stiege 5
AD0207;2 WC Damen, Waschraum
AD0207A;2 WC Herren, Waschraum
AD0207B;Vorraum
AD0208;Gang
AD0209;Besprechungsraum
AD0212;Stiege 10
AD0213;Büro
AD0213A;Gang
AD0215;Büro
AD0216A;E-Verteiler
AD0217;Büro
AD0217A;Gang
AD0220;Gang
AD0221;Büro
AD0222;Loggia
AD0222A;Aufzug
AD0223;Büro
AD0227;Büro
AD0302;Stiege, Gang
AD0307;Vorraum
AD0307A;Lager
AD0307B;1 WC, Waschraum
AD0307C;1 WC, Waschraum
AD0308;Bibliothek
AD0308A;Gang
AD0309;Stiege und Gang
AD0311;Büro
AD0311A;Büro
AD0312;Büro
AD0313;Seminarraum 222
AD0314;Büro
AD0318;Büro
AD0319;Büro
AD0319A;Archiv
AD0320;Büro
AD0321A;Abstellraum
AD0323A;Abstellraum
AD0325;Büro, Besprechungsraum
AD0401;PC-Raum / Studenten
AD0402;Büro
AD0402A;Drucker
AD0404;Büro
AD0406;Kopierraum
AD0406A;Gang
AD0406B;1 WC
AD0407;Büro
AD0409;Stiege
AD0410;Büro
AD0411;Büro
AD0412;Roboter
AD0413;Abstellraum
AD0414;Büro
AD0415;Werkstatt
AD0416;Büro
AD0418;Spritzraum
AD0420;Umkleideraum
AD0420A;1 WC
AD0421;Werkstatt
AD0423;Werkstatt
ADEG02;Stiege und Gang
ADEG07;Gang
ADEG07A;1 WC Damen, Waschraum
ADEG07B;1 WC Herren, Waschraum
ADEG07C;Reinigungsmaterial
ADEG09;Büro
ADEG09A;Vorraum
ADEG09B;Portierloge
ADEG10;Gang
ADEG12;Stiege 10
ADEG14;Gang
ADEG15;Durchgang
ADEG16A;E-Verteiler
ADEG19;Seminarraum
ADEG22;Loggia
ADEG22A;Aufzug
ADEG29;Mittelspannungsraum
ADEG35;Trafo
ADEG35A;Vorraum-Trafo, Hof
ADU101;Lager
ADU102;Stiege und Gang
ADU107;Keller
ADU107A;Gang
ADU109;Lager
ADU109A;Lager
ADU109B;Gang
ADU112;Gang
ADU117;Feinstmessraum
ADU122;Brunnen
ADU125;Auswerter
ADU125A;Schleuse
ADU125B;EDV-Verteiler
ADU127;Maschinenraum
ADU127A;Vorraum
ADU127B;Stiege
ADZE09;Lager
AE0101;Archiv
AE0101A;Abstellraum
AE0102;Gang
AE0103;Büro
AE0103A;Vorraum
AE0104;Vorraum
AE0104A;WC Herren, Waschraum
AE0105;Büro
AE0107;Büro
AE0109;Universitätsrat
AE0111;Schalterraum Evidenz
AE0117;Büro Evidenzstelle
AE0120;Stiege 8A
AE0123;Büro
AE0123A;Vorraum, Stiege
AE0125;Büro
AE0127;Büro
AE0128A;Stiege 8
AE0129;Forschungsmarketing
AE0133;Aufenthaltsraum
AE0133A;Archiv
AE0133B;Abstellkammerl
AE0133C;Reinigungsmaterial
AE0135;Waschraum
AE0135A;1 WC Damen
AE0136;Gang
AE0137;1 WC Herren
AE0138;BI EDV-Lehrraum
AE0141;HS 8 Heinz Parkus
AE0144;BI Sitzungszimmer
AE0148;Teeküche BI
AE0151;Vorraum
AE0155;EDV-Verteiler
AE0161;Notvermittlung
AE0201;Bibliothek
AE0202;Gang
AE0204;Vorraum
AE0204A;WC Herren, Waschraum
AE0205;Büro Prof.
AE0205A;Vorraum
AE0207;Büro Ass.
AE0207A;Vorraum
AE0209;Büro Ass.
AE0211;Sekretariat
AE0211A;Vorraum
AE0213;Büro Ass.
AE0215;Seminarraum 202
AE0219;GUT-Schulungsraum
AE0220;Stiege 8A
AE0223;Büro
AE0223A;Gang
AE0225;Büro
AE0227;Büro
AE0228A;Stiege 8
AE0229;Büro
AE0231;Büro
AE0233;Büro
AE0233A;Teeküche
AE0235;1 WC, Waschraum
AE0236;Gang
AE0238;HS 18 Czuber
AE0238A;Abstellraum HS 18
AE0239;HS 13 Ernst Melan
AE0248;Videoraum für HS 18
AE0251;Büro
AE0251A;Vorraum
AE0251B;Reinigungsmaterial
AE0253;Büro
AE0255;Gang
AE0259;Vorbereitungsraum bei HS 18
AE0259A;Lüftungsanlage/Zugang Lüftung
AE0261;Büro
AE0301;Büro Ass.
AE0301A;Archiv
AE0302;Gang
AE0304;Vorraum
AE0304A;WC, Waschraum
AE0305;Büro Ass.
AE0305A;Vorraum
AE0307;Büro
AE0309;Büro
AE0309A;Vorraum
AE0311;Büro
AE0313;Büro
AE0313A;Teeküche
AE0313B;EDV-Verteiler
AE0315;Seminarraum 213
AE0319;Büro Wiss.
AE0319A;Vorraum
AE0321;Büro Wiss.
AE0323;Büro Prof.
AE0323A;Bibliothek
AE0327;Sekretariat
AE0327A;Vorraum
AE0328A;Stiege 8
AE0329;Büro Wiss.
AE0331A;Küche
AE0333;Büro Wiss.
AE0335;1 WC, Waschraum
AE0338;Sozialraum
AE0338A;Stiege
AE0338B;Gang
AE0340;Seminarraum 253
AE0341;HS 17 Friedrich Hartmann
AE0351;Büro
AE0351A;Vorraum
AE0353;Büro
AE0355;Büro
AE0355A;Küche
AE0359;Büro
AE0363;Druckerraum
AEDG38A;Stiege
AEEG01;Büro Prof.
AEEG01A;Bibliothek
AEEG02;Gang
AEEG04;Vorraum
AEEG04A;WC Herren, Waschraum
AEEG05;Sekretariat
AEEG07;Büro Prof.
AEEG07A;Teeküche
AEEG11;Büro Ass.
AEEG11A;Gang
AEEG13;Büro Ass.
AEEG15;EDV-Raum
AEEG19;Büro Ass.
AEEG19A;Gang
AEEG20;Stiege 8A
AEEG21;Büro Ass.
AEEG23;Büro Ass.
AEEG25;Seminarraum 234
AEEG28A;Stiege 8
AEEG29;Büro Ass.
AEEG29A;Gang
AEEG30;Gang
AEEG31;Büro Ass.
AEEG33;Büro Ass.
AEEG33A;WC
AEEG33B;Gang
AEEG35;Lüftungszentrale
AEEG38;Büro
AEEG38A;Stiege
AEEG40;Hörsaal 6
AEEG45;Abstellraum
AEEG47;EDV-Raum
AEEG47A;EDV-Verteiler
AEEG51;EDV-Raum
AEEG51A;Gang
AEEG55;Gang Neben Hörsaal 6
AEU101;Lüftungsanlage
AEU102;Gang
AEU103;Lager
AEU103A;Vorraum
AEU104;Vorraum
AEU104A;WC Herren, Waschraum
AEU105;Garderobe Reinigung Marischka
AEU105A;Reinigungsfirma
AEU107;Telefonverteiler
AEU107A;Lüftungsanlage
AEU109;EDV-Verteiler
AEU109A;Vorraum
AEU111;SiSa- Umbau
AEU113;SiSa- Umbau
AEU113A;SiSa- Umbau
AEU114;Durchgang U2
AEU115;SiSa- Umbau
AEU116;Vorraum
AEU117;SiSa- Umbau
AEU118;Messgeräte
AEU119;SiSa- Umbau
AEU120;Stiege 8A
AEU121;Labor/Luftversuch
AEU121A;Gang
AEU128;Vorraum
AEU128A;Stiege 8
AEU130;Niederspannungsraum
AEU131;Werkstatt
AEU133;Werkstatt
AEU133A;Abstellraum
AEU133B;Abstellraum
AEU134;Maschinenraum
AEU135;Vorraum
AEU137;1 WC
AEU138;Werkstatt
AEU138A;Stiege in Heizkeller
AEU140;Labor Ölversuch
AEU140A;Gang
AEU141;Labor
AEU141A;Labor
AEU142;Seminarraum/Messraum
AEU144;Messgeräte
AEU146;Abstellraum
AEU146A;Vorraum
AEU146B;Lüftungsraum
AEU151;Vorraum/Stiege Sanitär
AEU155;Vorraum
AEU159;Lager
AEU161;Lager
AEU238;Lager
AEU238A;Stiege
AEU238B;Technik
AEU240;Kesselhaus
AEU248;Gang
AEU255;Heizraum
AEU263A;1 WC
AEZ101A;Archiv
AEZ120;Stiege 8A
AEZ133A;Lager
AEZ133B;Lager
AEZ133C;Stiege / Gang
AEZ338A;Stiege
AEZE20;Stiege 8A
AEZE38;Archiv
AEZE38A;Stiege
AEZE55;Lager
AEZE57;Büro
AEZU05A;Lager
AF0101;Büro
AF0101A;Gang
AF0102;Stiege und Gang
AF0102A;Aufzug
AF0102B;2 WC, Waschraum Herren
AF0102C;2 WC, Waschraum Damen
AF0105;EDV-Labor
AF0106;EDV-Labor
AF0106A;Gang
AF0113;EDV-Labor
AF0114;Institutsserver
AF0116;EDV-Labor
AF0119;EDV-Labor
AF0122;EDV-Labor
AF0125;EDV-Labor
AF0128;Büro Wiss.
AF0129;Büro
AF0130;Büro
AF0133;Bautechn. Labor
AF0134;Sekretariat
AF0134A;Bürotechnik
AF0136C;Aufzug
AF0138;Stiege 6
AF0201;Sozialraum, Küche
AF0202;Stiege und Gang
AF0202A;Aufzug
AF0202B;1 WC Behinderte
AF0202C;2 WC, Waschraum Damen
AF0202D;Reinigungsmaterial
AF0203;Besprechungszimmer
AF0204A;Gang
AF0206;Büro
AF0209;Emeritus Prof.
AF0210;Büro
AF0213;Büro
AF0214;Büro
AF0216;Seminarraum
AF0217;Büro Wiss.
AF0222;Hörsaal 12
AF0223;Büro Wiss.
AF0229;Sekretariat
AF0233;Büro Prof.
AF0234;Vorraum + Stiege
AF0234A;Vorraum
AF0236;1 WC
AF0236A;Abstellraum
AF0236C;Aufzug
AF0238;Stiege 6
AF0301;Lager
AF0302;Stiege 7
AF0302A;Aufzug
